soak_start profile=deterministic ops=80000 reopen_every=800 compact_every=4000 flush_every=200 power_loss_every=0
progress ops=10000/80000
progress ops=20000/80000
progress ops=30000/80000
progress ops=40000/80000
progress ops=50000/80000
progress ops=60000/80000
progress ops=70000/80000
progress ops=80000/80000
soak_done profile=deterministic ops=80000 max_kv_put_us=34937 max_kv_del_us=28455 max_ts_insert_us=25936 max_rel_insert_us=24476 max_rel_del_us=24336 max_compact_us=20571 max_reopen_us=58598 spikes_gt_1ms=64143 spikes_gt_5ms=943 slo_pass=1
profile,ops,max_kv_put_us,max_kv_del_us,max_ts_insert_us,max_rel_insert_us,max_rel_del_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,80000,34937,28455,25936,24476,24336,20571,58598,64143,943,0,1
